"지역","2013...2","2013...3","2013...4"
"지역","전체","남성","여성"
"서울시","-","-","-"
"종로구","16.699999999999999","-","18.5"
"중구","19","-","18.600000000000001"
"용산구","21.699999999999999","25.100000000000001","19.399999999999999"
"성동구","19.300000000000001","-","16.399999999999999"
"광진구","15.1","13.4","16"
"동대문구","16.300000000000001","15.699999999999999","17"
"중랑구","19.300000000000001","33.799999999999997","12.4"
"성북구","29.800000000000001","-","25.300000000000001"
"강북구","10.9","-","13.6"
"도봉구","14.4","-","17.100000000000001"
"노원구","23.899999999999999","-","27.600000000000001"
"은평구","12.9","-","18.399999999999999"
"서대문구","15.199999999999999","12.800000000000001","16.699999999999999"
"마포구","22.100000000000001","-","23.199999999999999"
"양천구","7.5999999999999996","-","7.5999999999999996"
"강서구","17.5","12.5","21.100000000000001"
"구로구","16.699999999999999","18.600000000000001","15.300000000000001"
"금천구","13.5","8.3000000000000007","16.899999999999999"
"영등포구","9.6999999999999993","8.9000000000000004","10.199999999999999"
"동작구","12.199999999999999","13.800000000000001","11"
"관악구","16","20.399999999999999","14"
"서초구","22.899999999999999","33.299999999999997","17.800000000000001"
"강남구","17.199999999999999","19.899999999999999","15.4"
"송파구","10.1","4.2000000000000002","12.4"
"강동구","11.199999999999999","4.7000000000000002","13.9"
