"지역","2017...2","2017...3","2017...4"
"지역","전체","남성","여성"
"서울시","19.899999999999999","18.600000000000001","20.800000000000001"
"종로구","23.699999999999999","-","23.100000000000001"
"중구","31.699999999999999","-","28.100000000000001"
"용산구","18","-","17.899999999999999"
"성동구","16.899999999999999","5.7000000000000002","24.899999999999999"
"광진구","17.399999999999999","12.6","21.800000000000001"
"동대문구","21.199999999999999","9.5999999999999996","27.100000000000001"
"중랑구","17.800000000000001","26.600000000000001","14"
"성북구","18.699999999999999","17.199999999999999","19.800000000000001"
"강북구","15.1","7.7999999999999998","18.899999999999999"
"도봉구","24.600000000000001","8","35.5"
"노원구","17.399999999999999","-","20.399999999999999"
"은평구","17.199999999999999","14.5","19.800000000000001"
"서대문구","22.300000000000001","-","24.899999999999999"
"마포구","32.899999999999999","-","28.199999999999999"
"양천구","14.300000000000001","-","16.800000000000001"
"강서구","18.300000000000001","19.300000000000001","17.600000000000001"
"구로구","16.100000000000001","13.800000000000001","18"
"금천구","13.300000000000001","-","15.5"
"영등포구","22.899999999999999","-","26.800000000000001"
"동작구","19","12.4","22.399999999999999"
"관악구","8.0999999999999996","8.6999999999999993","7.7000000000000002"
"서초구","41.600000000000001","41.299999999999997","41.700000000000003"
"강남구","24.300000000000001","-","17.5"
"송파구","19.699999999999999","24.699999999999999","15.5"
"강동구","18.300000000000001","20.5","17.199999999999999"
