"지역","2010...2","2010...3","2010...4"
"지역","전체","남성","여성"
"종로구","8.5999999999999996","10.5","7.2999999999999998"
"중구","14.300000000000001","19","11.800000000000001"
"용산구","24.5","-","27.600000000000001"
"성동구","18.300000000000001","26.300000000000001","13"
"광진구","18.300000000000001","24.5","14.4"
"동대문구","32.200000000000003","32.600000000000001","32.100000000000001"
"중랑구","24.300000000000001","33.399999999999999","19.699999999999999"
"성북구","17.399999999999999","10.800000000000001","21.5"
"강북구","7.0999999999999996","14.199999999999999","4.9000000000000004"
"도봉구","12.9","6","16.699999999999999"
"노원구","10.4","4.2999999999999998","13.9"
"은평구","20.300000000000001","-","22.100000000000001"
"서대문구","22.300000000000001","18.600000000000001","23.600000000000001"
"마포구","13.9","15.199999999999999","13.1"
"양천구","8.5","-","12.1"
"강서구","13.1","-","19.899999999999999"
"구로구","9.1999999999999993","-","12.300000000000001"
"금천구","20.100000000000001","9.1999999999999993","23.699999999999999"
"영등포구","11.800000000000001","28.600000000000001","5.0999999999999996"
"동작구","16.5","17.899999999999999","15.800000000000001"
"관악구","23.300000000000001","23.300000000000001","23.300000000000001"
"서초구","13.300000000000001","11.9","14"
"강남구","37.100000000000001","28.100000000000001","39.799999999999997"
"송파구","10.800000000000001","17","6.5999999999999996"
"강동구","11.4","8.8000000000000007","12.6"
