"지역","2015...2","2015...3","2015...4"
"지역","전체","남성","여성"
"서울시","-","-","-"
"종로구","20.399999999999999","22.199999999999999","19.600000000000001"
"중구","16.100000000000001","4.5","24.699999999999999"
"용산구","24","-","31.5"
"성동구","17.600000000000001","-","14.5"
"광진구","12.300000000000001","10.9","13.1"
"동대문구","13.6","14.199999999999999","13.300000000000001"
"중랑구","16.800000000000001","23.800000000000001","12.4"
"성북구","17.800000000000001","11.4","21.899999999999999"
"강북구","10.9","71.599999999999994","36.700000000000003"
"도봉구","18.600000000000001","14.699999999999999","20.300000000000001"
"노원구","23.100000000000001","-","22.600000000000001"
"은평구","8.0999999999999996","-","7"
"서대문구","19.399999999999999","15","22.100000000000001"
"마포구","17.300000000000001","14.300000000000001","19.600000000000001"
"양천구","8.8000000000000007","-","14.199999999999999"
"강서구","20.699999999999999","16.800000000000001","23.300000000000001"
"구로구","19","25.100000000000001","14.6"
"금천구","20.100000000000001","-","16.899999999999999"
"영등포구","16","12.6","18.600000000000001"
"동작구","17.5","8","22.800000000000001"
"관악구","23.300000000000001","24.800000000000001","21.899999999999999"
"서초구","25.100000000000001","29","23.199999999999999"
"강남구","13.800000000000001","16.100000000000001","12.9"
"송파구","15.9","10.6","18.199999999999999"
"강동구","20.100000000000001","29.300000000000001","13.699999999999999"
