"지역","2011...2","2011...3","2011...4"
"지역","전체","남성","여성"
"종로구","17.699999999999999","10","21.600000000000001"
"중구","18.199999999999999","-","22.699999999999999"
"용산구","15.800000000000001","10.800000000000001","18.800000000000001"
"성동구","13.5","16","11.9"
"광진구","18.699999999999999","22.699999999999999","16.699999999999999"
"동대문구","12.6","6.2999999999999998","14.9"
"중랑구","17.300000000000001","31","11.6"
"성북구","20.199999999999999","26.699999999999999","15.800000000000001"
"강북구","13.699999999999999","8.3000000000000007","16.600000000000001"
"도봉구","11.5","7.7000000000000002","13.800000000000001"
"노원구","15.800000000000001","5.7000000000000002","20.899999999999999"
"은평구","22.100000000000001","13.4","25.600000000000001"
"서대문구","16.100000000000001","7.7000000000000002","18.600000000000001"
"마포구","11.9","15.9","10.4"
"양천구","9.0999999999999996","-","16"
"강서구","10.699999999999999","3.6000000000000001","14.199999999999999"
"구로구","10.800000000000001","11.1","10.699999999999999"
"금천구","7.2000000000000002","-","9.6999999999999993"
"영등포구","13.1","12.699999999999999","13.5"
"동작구","17.800000000000001","24.5","13.6"
"관악구","13.1","8.4000000000000004","16.199999999999999"
"서초구","11.6","4.2999999999999998","17.399999999999999"
"강남구","23.100000000000001","-","20"
"송파구","18","27.699999999999999","14.1"
"강동구","14","10.199999999999999","15.800000000000001"
