"지역","2018...2","2018...3","2018...4"
"지역","전체","남성","여성"
"서울시","22.399999999999999","21.300000000000001","23"
"종로구","21.100000000000001","-","19.100000000000001"
"중구","37.600000000000001","-","-"
"용산구","31.199999999999999","-","-"
"성동구","16.399999999999999","15.199999999999999","17.100000000000001"
"광진구","18.399999999999999","-","22.600000000000001"
"동대문구","23","-","-"
"중랑구","21.100000000000001","-","25.600000000000001"
"성북구","19.600000000000001","-","22.300000000000001"
"강북구","20.800000000000001","35","23"
"도봉구","24.5","-","22.600000000000001"
"노원구","19.800000000000001","-","22.899999999999999"
"은평구","19","17.300000000000001","20.300000000000001"
"서대문구","17","-","20.100000000000001"
"마포구","27.5","-","-"
"양천구","31.800000000000001","-","37.899999999999999"
"강서구","36.700000000000003","-","33.799999999999997"
"구로구","10.6","-","8.0999999999999996"
"금천구","39","-","37.899999999999999"
"영등포구","38.5","-","-"
"동작구","12.5","15.699999999999999","10.4"
"관악구","32.899999999999999","-","37.299999999999997"
"서초구","39.399999999999999","-","33.600000000000001"
"강남구","14.800000000000001","-","25.199999999999999"
"송파구","12.6","-","13.699999999999999"
"강동구","20.399999999999999","-","22.600000000000001"
