"지역","2019...2","2019...3","2019...4"
"지역","전체","남성","여성"
"서울시","26.399999999999999","24.800000000000001","27.399999999999999"
"종로구","40.600000000000001","-","-"
"중구","27.199999999999999","-","-"
"용산구","-","-","-"
"성동구","20.600000000000001","17.5","32.799999999999997"
"광진구","23.199999999999999","19.5","26.800000000000001"
"동대문구","30.399999999999999","17.600000000000001","36.600000000000001"
"중랑구","36.100000000000001","-","38.200000000000003"
"성북구","23.199999999999999","17","28.600000000000001"
"강북구","17.800000000000001","18.199999999999999","17.5"
"도봉구","17.100000000000001","-","22.800000000000001"
"노원구","33.299999999999997","25.399999999999999","39"
"은평구","30","37.399999999999999","25.399999999999999"
"서대문구","28","-","26.600000000000001"
"마포구","27.300000000000001","34.200000000000003","24.699999999999999"
"양천구","9.5","6.7999999999999998","12.199999999999999"
"강서구","23.899999999999999","21.5","25"
"구로구","7.5999999999999996","-","9.5999999999999996"
"금천구","29.100000000000001","17.600000000000001","37.200000000000003"
"영등포구","20.100000000000001","12","23.100000000000001"
"동작구","25.199999999999999","24.5","25.399999999999999"
"관악구","20.5","23.5","18.100000000000001"
"서초구","35","35.399999999999999","34.799999999999997"
"강남구","34.700000000000003","-","36.100000000000001"
"송파구","29.899999999999999","-","28.100000000000001"
"강동구","18.899999999999999","-","14.4"
