"지역","2016...2","2016...3","2016...4"
"지역","전체","남성","여성"
"서울시","18","14.699999999999999","20.100000000000001"
"종로구","14.1","-","16.600000000000001"
"중구","16","-","14.6"
"용산구","15.4","22.600000000000001","10.9"
"성동구","19.300000000000001","24.899999999999999","15.9"
"광진구","9.4000000000000004","-","15"
"동대문구","17.100000000000001","13.199999999999999","19.100000000000001"
"중랑구","14.800000000000001","12.4","16.899999999999999"
"성북구","10.9","10.699999999999999","11.199999999999999"
"강북구","18.399999999999999","16.899999999999999","19.300000000000001"
"도봉구","15.5","3.7999999999999998","21.699999999999999"
"노원구","24.399999999999999","-","24.800000000000001"
"은평구","14.800000000000001","13","16.100000000000001"
"서대문구","23.199999999999999","-","30.300000000000001"
"마포구","29.899999999999999","-","42.5"
"양천구","31.800000000000001","-","25.899999999999999"
"강서구","5.2000000000000002","-","4.4000000000000004"
"구로구","17.600000000000001","-","20.300000000000001"
"금천구","35.200000000000003","-","43.600000000000001"
"영등포구","5.2999999999999998","-","8"
"동작구","16.100000000000001","15","16.899999999999999"
"관악구","12","9","15"
"서초구","23.199999999999999","17","27.100000000000001"
"강남구","21.399999999999999","-","23.800000000000001"
"송파구","20.600000000000001","19.100000000000001","21.5"
"강동구","18","13.800000000000001","20.699999999999999"
