"지역","2020...2","2020...3","2020...4"
"지역","전체","남성","여성"
"서울시","29.199999999999999","26.199999999999999","30.899999999999999"
"종로구","20.100000000000001","-","21.199999999999999"
"중구","35.200000000000003","-","46.299999999999997"
"용산구","-","-","-"
"성동구","14.300000000000001","-","16.600000000000001"
"광진구","25.199999999999999","27.699999999999999","23.899999999999999"
"동대문구","31.100000000000001","-","36.399999999999999"
"중랑구","27.300000000000001","32.700000000000003","24.100000000000001"
"성북구","30","24.600000000000001","33.299999999999997"
"강북구","33.600000000000001","-","33.600000000000001"
"도봉구","36.799999999999997","-","36.899999999999999"
"노원구","32.899999999999999","-","36.600000000000001"
"은평구","28.199999999999999","30.300000000000001","26.800000000000001"
"서대문구","24.199999999999999","-","25.300000000000001"
"마포구","46.5","-","50.100000000000001"
"양천구","28.300000000000001","-","28.800000000000001"
"강서구","40.600000000000001","37.100000000000001","42.5"
"구로구","17.800000000000001","-","21.199999999999999"
"금천구","32.700000000000003","15.4","43.399999999999999"
"영등포구","31.5","-","27.800000000000001"
"동작구","25.699999999999999","-","36.700000000000003"
"관악구","27.300000000000001","-","26.899999999999999"
"서초구","35","32.100000000000001","37.700000000000003"
"강남구","31.600000000000001","33.600000000000001","30.5"
"송파구","16.199999999999999","19.5","14.300000000000001"
"강동구","25.100000000000001","-","36.100000000000001"
