"지역","전체","남성","여성"
"서울시","5.0999999999999996","3.6000000000000001","6.4000000000000004"
"종로구","5.2999999999999998","3.6000000000000001","7"
"중구","3.2000000000000002","3.5","2.8999999999999999"
"용산구","2.1000000000000001","0.90000000000000002","3.2000000000000002"
"성동구","6.0999999999999996","4.7999999999999998","7.2999999999999998"
"광진구","6.5","3.7999999999999998","9.0999999999999996"
"동대문구","2.1000000000000001","1.5","2.7000000000000002"
"중랑구","6","4.7000000000000002","7.2000000000000002"
"성북구","7.2999999999999998","4.5","10"
"강북구","5.7000000000000002","4.9000000000000004","6.5"
"도봉구","6","4.9000000000000004","7.0999999999999996"
"노원구","6.2999999999999998","3.7999999999999998","8.6999999999999993"
"은평구","7.5999999999999996","6.9000000000000004","8.3000000000000007"
"서대문구","2.8999999999999999","0.90000000000000002","4.7999999999999998"
"마포구","2.6000000000000001","2.7999999999999998","2.5"
"양천구","3.6000000000000001","3.2000000000000002","4"
"강서구","3.6000000000000001","2.7000000000000002","4.5999999999999996"
"구로구","2.7000000000000002","4.4000000000000004","6.9000000000000004"
"금천구","5.4000000000000004","3.6000000000000001","7.2999999999999998"
"영등포구","3.1000000000000001","2.1000000000000001","4.0999999999999996"
"동작구","10.6","9","12.1"
"관악구","3.7999999999999998","3.2000000000000002","4.5"
"서초구","5","3","6.7999999999999998"
"강남구","5.4000000000000004","3.5","7"
"송파구","2.7999999999999998","1.2","4.0999999999999996"
"강동구","6.4000000000000004","3.2000000000000002","9.5999999999999996"
