"지역","전체","남성","여성"
"서울시","6.7999999999999998","4.5999999999999996","9"
"종로구","6.9000000000000004","5.5","8.0999999999999996"
"중구","4.7999999999999998","3.2999999999999998","6.2999999999999998"
"용산구","4.7999999999999998","2.1000000000000001","7.5"
"성동구","5.4000000000000004","4.4000000000000004","6.4000000000000004"
"광진구","5","3.8999999999999999","6"
"동대문구","5.0999999999999996","2.7999999999999998","7.2999999999999998"
"중랑구","8.0999999999999996","5.5","10.699999999999999"
"성북구","6.7999999999999998","5.2999999999999998","8.1999999999999993"
"강북구","6.0999999999999996","3","9.0999999999999996"
"도봉구","10.6","7.7000000000000002","13.300000000000001"
"노원구","11.199999999999999","8.5999999999999996","13.699999999999999"
"은평구","4.5999999999999996","2.7999999999999998","6.2999999999999998"
"서대문구","7.2000000000000002","3.7000000000000002","10.5"
"마포구","10.4","7.9000000000000004","12.800000000000001"
"양천구","6.4000000000000004","4","8.8000000000000007"
"강서구","7.0999999999999996","4.9000000000000004","9.1999999999999993"
"구로구","5.9000000000000004","2.8999999999999999","8.8000000000000007"
"금천구","4.2999999999999998","2.1000000000000001","6.5"
"영등포구","7.5","4.2999999999999998","10.699999999999999"
"동작구","5.5999999999999996","4","7.2000000000000002"
"관악구","6.7999999999999998","4.7999999999999998","8.9000000000000004"
"서초구","7","4.9000000000000004","9"
"강남구","5.7999999999999998","2.7999999999999998","8.4000000000000004"
"송파구","5.9000000000000004","4.9000000000000004","6.9000000000000004"
"강동구","7.2000000000000002","4.5999999999999996","9.8000000000000007"
