"지역","전체","남성","여성"
"서울시","7.2000000000000002","5.5999999999999996","8.6999999999999993"
"종로구","5.2999999999999998","4.2999999999999998","6.4000000000000004"
"중구","5.2000000000000002","4.9000000000000004","5.4000000000000004"
"용산구","5.7000000000000002","4.0999999999999996","7.2999999999999998"
"성동구","5.0999999999999996","4.2999999999999998","5.9000000000000004"
"광진구","10.199999999999999","9.9000000000000004","10.4"
"동대문구","7.9000000000000004","5.4000000000000004","10.4"
"중랑구","9.9000000000000004","6.0999999999999996","13.699999999999999"
"성북구","8","7","9"
"강북구","8.5999999999999996","6","11.1"
"도봉구","6.7000000000000002","5.5","7.9000000000000004"
"노원구","5.0999999999999996","2.7000000000000002","7.2999999999999998"
"은평구","7.5999999999999996","7.5999999999999996","7.5"
"서대문구","4.5","2.7999999999999998","6.0999999999999996"
"마포구","6.9000000000000004","4","9.5"
"양천구","6","5.0999999999999996","6.7999999999999998"
"강서구","7.2999999999999998","6.5","8"
"구로구","6","5.5","6.5"
"금천구","5.0999999999999996","3.2999999999999998","7"
"영등포구","5.2999999999999998","3.7000000000000002","6.7999999999999998"
"동작구","7.7000000000000002","5.4000000000000004","9.8000000000000007"
"관악구","7.5","6.4000000000000004","8.6999999999999993"
"서초구","7.9000000000000004","6","9.5999999999999996"
"강남구","7.7000000000000002","4.0999999999999996","10.800000000000001"
"송파구","7.0999999999999996","6.7000000000000002","7.5"
"강동구","10.800000000000001","7.9000000000000004","13.6"
