"지역","전체","남성","여성"
"서울시","7.9000000000000004","6","9.6999999999999993"
"종로구","10","6.2000000000000002","13.699999999999999"
"중구","11.199999999999999","9.5999999999999996","12.800000000000001"
"용산구","4.2999999999999998","3","5.5"
"성동구","4.4000000000000004","3","5.7000000000000002"
"광진구","10.800000000000001","7.9000000000000004","13.5"
"동대문구","7.7000000000000002","6.2000000000000002","9.3000000000000007"
"중랑구","10.5","8.3000000000000007","12.699999999999999"
"성북구","6","4.7999999999999998","7.0999999999999996"
"강북구","7.2000000000000002","6.7000000000000002","7.7999999999999998"
"도봉구","9.0999999999999996","5.7999999999999998","12.300000000000001"
"노원구","3.7999999999999998","3","4.5"
"은평구","6.7999999999999998","4.4000000000000004","9"
"서대문구","9.4000000000000004","7.2999999999999998","11.4"
"마포구","11.6","10","12.9"
"양천구","6.7000000000000002","5.2000000000000002","8.0999999999999996"
"강서구","6","5.0999999999999996","7"
"구로구","7.7999999999999998","6.5999999999999996","9"
"금천구","6.2999999999999998","3.2000000000000002","9.5"
"영등포구","6.7000000000000002","6","7.4000000000000004"
"동작구","10.199999999999999","7.5","12.699999999999999"
"관악구","8.5999999999999996","8.3000000000000007","9"
"서초구","9.3000000000000007","6.4000000000000004","12"
"강남구","8.6999999999999993","5.2000000000000002","11.800000000000001"
"송파구","8.5999999999999996","5.4000000000000004","11.5"
"강동구","9.1999999999999993","7.5999999999999996","10.800000000000001"
