"지역","전체","남성","여성"
"서울시","7","5.4000000000000004","8.4000000000000004"
"종로구","6.9000000000000004","5","8.8000000000000007"
"중구","7","4.4000000000000004","9.5"
"용산구","6.2000000000000002","5","7.4000000000000004"
"성동구","7.2000000000000002","5.5","8.8000000000000007"
"광진구","9.5","7.2999999999999998","11.6"
"동대문구","8.0999999999999996","5.5999999999999996","10.6"
"중랑구","7.9000000000000004","7.2999999999999998","8.5999999999999996"
"성북구","6.9000000000000004","7.9000000000000004","6"
"강북구","7.5","5.4000000000000004","9.5"
"도봉구","8.5999999999999996","6.0999999999999996","11"
"노원구","5.4000000000000004","1.8999999999999999","8.5999999999999996"
"은평구","7.7000000000000002","6.5","8.8000000000000007"
"서대문구","5.4000000000000004","4.2000000000000002","6.5"
"마포구","5.2999999999999998","3.7999999999999998","6.5999999999999996"
"양천구","6.2999999999999998","4.2000000000000002","8.3000000000000007"
"강서구","4.5999999999999996","3.6000000000000001","5.5999999999999996"
"구로구","5.2000000000000002","3.6000000000000001","6.7000000000000002"
"금천구","4.4000000000000004","3.2000000000000002","5.7999999999999998"
"영등포구","6.7999999999999998","4.5999999999999996","9"
"동작구","10","8.4000000000000004","11.4"
"관악구","6.2999999999999998","6.2999999999999998","6.2000000000000002"
"서초구","8.5","7","9.9000000000000004"
"강남구","4.4000000000000004","3.2000000000000002","5.5"
"송파구","9.4000000000000004","7.7000000000000002","11"
"강동구","8.5999999999999996","6.9000000000000004","10.199999999999999"
