"지역","전체","남성","여성"
"서울시","7.0999999999999996","5","9.0999999999999996"
"종로구","7.2999999999999998","3.1000000000000001","11.4"
"중구","6.2999999999999998","4","8.5999999999999996"
"용산구","7.0999999999999996","6","8.0999999999999996"
"성동구","6","4","7.9000000000000004"
"광진구","7.5","5.4000000000000004","9.5"
"동대문구","5.2999999999999998","5.4000000000000004","5.0999999999999996"
"중랑구","9.1999999999999993","6","12.4"
"성북구","5","4.0999999999999996","5.9000000000000004"
"강북구","6","4.2999999999999998","7.5999999999999996"
"도봉구","6.0999999999999996","4","8.1999999999999993"
"노원구","5.2999999999999998","2.2000000000000002","8.0999999999999996"
"은평구","5.9000000000000004","3.6000000000000001","8"
"서대문구","7","5.5999999999999996","8.3000000000000007"
"마포구","7.5","4.7999999999999998","10"
"양천구","4.9000000000000004","3.3999999999999999","6.4000000000000004"
"강서구","6.5","5.5999999999999996","7.4000000000000004"
"구로구","6.4000000000000004","5.0999999999999996","7.5999999999999996"
"금천구","10.199999999999999","7.7999999999999998","12.6"
"영등포구","8.0999999999999996","6.4000000000000004","9.8000000000000007"
"동작구","8.3000000000000007","7.5","9"
"관악구","8.4000000000000004","4.9000000000000004","12"
"서초구","7.9000000000000004","5.4000000000000004","10.1"
"강남구","8.5999999999999996","7.2000000000000002","9.8000000000000007"
"송파구","9.0999999999999996","5.4000000000000004","12.6"
"강동구","7.4000000000000004","4.2999999999999998","10.300000000000001"
