"지역","전체","남성","여성"
"서울시","6.5","5","8"
"종로구","3.2000000000000002","2.7000000000000002","3.6000000000000001"
"중구","2.3999999999999999","2.2000000000000002","2.6000000000000001"
"용산구","2.1000000000000001","1.6000000000000001","2.6000000000000001"
"성동구","7.5","6.7999999999999998","8.1999999999999993"
"광진구","6.5999999999999996","6.7999999999999998","6.4000000000000004"
"동대문구","8.4000000000000004","5.5","11.199999999999999"
"중랑구","7.7000000000000002","6","9.4000000000000004"
"성북구","7.5999999999999996","7.2999999999999998","7.9000000000000004"
"강북구","6.4000000000000004","5.5999999999999996","7.0999999999999996"
"도봉구","4.5","2.2999999999999998","6.5"
"노원구","7","6.0999999999999996","7.9000000000000004"
"은평구","8.8000000000000007","7","10.5"
"서대문구","6.7999999999999998","5.0999999999999996","8.4000000000000004"
"마포구","7.7000000000000002","4.5","10.5"
"양천구","6.5999999999999996","6.0999999999999996","7.0999999999999996"
"강서구","5.5999999999999996","3.6000000000000001","7.4000000000000004"
"구로구","5.7999999999999998","2.5","9.0999999999999996"
"금천구","7.4000000000000004","6","8.8000000000000007"
"영등포구","8","4.4000000000000004","11.5"
"동작구","4.7999999999999998","2.3999999999999999","7.0999999999999996"
"관악구","7","6.2999999999999998","7.7000000000000002"
"서초구","6.5","6.0999999999999996","6.7999999999999998"
"강남구","6","5.2000000000000002","6.7000000000000002"
"송파구","6.4000000000000004","5","7.7000000000000002"
"강동구","6.7000000000000002","3.2000000000000002","9.9000000000000004"
