"지역","전체","남성","여성"
"서울시","8.3000000000000007","6.2000000000000002","10.300000000000001"
"종로구","9","6.4000000000000004","11.5"
"중구","8.5999999999999996","8","9.1999999999999993"
"용산구","9.5","5.7999999999999998","12.9"
"성동구","9.0999999999999996","4.7999999999999998","13.4"
"광진구","7.5","6.0999999999999996","8.9000000000000004"
"동대문구","9.6999999999999993","6.2999999999999998","13.199999999999999"
"중랑구","11.300000000000001","9","13.5"
"성북구","7.7000000000000002","4.5","10.699999999999999"
"강북구","9.1999999999999993","6.7000000000000002","11.6"
"도봉구","7","5.2000000000000002","8.6999999999999993"
"노원구","5.2999999999999998","4.2999999999999998","6.2999999999999998"
"은평구","9.1999999999999993","7.4000000000000004","10.9"
"서대문구","9.9000000000000004","7.2999999999999998","12.199999999999999"
"마포구","8.1999999999999993","5.9000000000000004","10.4"
"양천구","5.7000000000000002","3.8999999999999999","7.4000000000000004"
"강서구","7.5999999999999996","5.7999999999999998","9.1999999999999993"
"구로구","6.9000000000000004","5.0999999999999996","8.6999999999999993"
"금천구","6.9000000000000004","5.2000000000000002","8.6999999999999993"
"영등포구","9","7","11"
"동작구","6.5999999999999996","5.2000000000000002","8"
"관악구","8.5999999999999996","6.4000000000000004","10.9"
"서초구","10","8.8000000000000007","11.1"
"강남구","7.2999999999999998","5.2999999999999998","9.0999999999999996"
"송파구","9.3000000000000007","6.7999999999999998","11.699999999999999"
"강동구","10.4","8.8000000000000007","12"
