"지역","전체","남성","여성"
"서울시","6.7999999999999998","4.9000000000000004","8.6999999999999993"
"종로구","9.0999999999999996","8","10.1"
"중구","5.2000000000000002","3","7.4000000000000004"
"용산구","7.7000000000000002","3.7999999999999998","11.300000000000001"
"성동구","6.2000000000000002","5.9000000000000004","6.5"
"광진구","5","3.6000000000000001","6.4000000000000004"
"동대문구","5.7000000000000002","3.5","8"
"중랑구","9","7.2000000000000002","10.800000000000001"
"성북구","5.2999999999999998","3.8999999999999999","6.5"
"강북구","7.9000000000000004","6","9.6999999999999993"
"도봉구","8.3000000000000007","7.2000000000000002","9.1999999999999993"
"노원구","8.1999999999999993","6.7999999999999998","9.4000000000000004"
"은평구","4.7999999999999998","3.2000000000000002","6.2999999999999998"
"서대문구","7.9000000000000004","3.7999999999999998","11.6"
"마포구","3.7999999999999998","3.6000000000000001","4"
"양천구","7.0999999999999996","3.7999999999999998","10.1"
"강서구","4.2000000000000002","2.8999999999999999","5.4000000000000004"
"구로구","8.5999999999999996","5.2999999999999998","11.800000000000001"
"금천구","6.7000000000000002","4.5","9"
"영등포구","10.800000000000001","10.9","10.6"
"동작구","11.5","9.8000000000000007","13.1"
"관악구","4.9000000000000004","2.6000000000000001","7.2000000000000002"
"서초구","5.4000000000000004","2.5","8.0999999999999996"
"강남구","5.5999999999999996","4.7000000000000002","6.4000000000000004"
"송파구","8.5999999999999996","5.5","11.4"
"강동구","5.5999999999999996","2.5","8.5999999999999996"
