"지역","전체","남성","여성"
"서울시","7.9000000000000004","5.2999999999999998","10.300000000000001"
"종로구","7.9000000000000004","6.5","9.3000000000000007"
"중구","12.199999999999999","9.1999999999999993","15.199999999999999"
"용산구","8.8000000000000007","4.7999999999999998","12.6"
"성동구","8.3000000000000007","6.2999999999999998","10.199999999999999"
"광진구","9.8000000000000007","6.2000000000000002","13.199999999999999"
"동대문구","8.1999999999999993","5.0999999999999996","11.300000000000001"
"중랑구","5.4000000000000004","3.5","7.4000000000000004"
"성북구","6.7000000000000002","5.5999999999999996","7.7000000000000002"
"강북구","5.2999999999999998","2.8999999999999999","7.7000000000000002"
"도봉구","9.1999999999999993","5.5999999999999996","12.6"
"노원구","7.0999999999999996","4","9.9000000000000004"
"은평구","5","5.0999999999999996","5"
"서대문구","9.9000000000000004","8.3000000000000007","11.5"
"마포구","10","8.1999999999999993","11.6"
"양천구","7.4000000000000004","6.2999999999999998","8.4000000000000004"
"강서구","11.6","6.5999999999999996","16.300000000000001"
"구로구","10","7","13"
"금천구","6.5999999999999996","3.8999999999999999","9.4000000000000004"
"영등포구","8.3000000000000007","4.5999999999999996","12"
"동작구","6.7000000000000002","3.1000000000000001","10.199999999999999"
"관악구","11.6","7.9000000000000004","15.4"
"서초구","6.0999999999999996","3.1000000000000001","8.8000000000000007"
"강남구","4.2000000000000002","2.2999999999999998","5.9000000000000004"
"송파구","6.9000000000000004","5.2999999999999998","8.3000000000000007"
"강동구","7.0999999999999996","5","9.0999999999999996"
