"지역","전체","남성","여성"
"서울시","6.2999999999999998","4.7999999999999998","7.7000000000000002"
"종로구","5","3.2999999999999998","6.7000000000000002"
"중구","3.2999999999999998","2.7000000000000002","4"
"용산구","2.3999999999999999","1.8999999999999999","2.7999999999999998"
"성동구","4.9000000000000004","3.2000000000000002","6.5"
"광진구","8","6","9.8000000000000007"
"동대문구","4.5","3","5.9000000000000004"
"중랑구","7.7000000000000002","5.7000000000000002","9.6999999999999993"
"성북구","8.5","6.7000000000000002","10.1"
"강북구","6.7000000000000002","5.4000000000000004","7.9000000000000004"
"도봉구","5.5","3.7000000000000002","7.2000000000000002"
"노원구","4.9000000000000004","2.2999999999999998","7.2999999999999998"
"은평구","7.5999999999999996","6.4000000000000004","8.5999999999999996"
"서대문구","3.8999999999999999","3.2999999999999998","4.5"
"마포구","6","3.6000000000000001","8.0999999999999996"
"양천구","6","4.0999999999999996","7.9000000000000004"
"강서구","7.0999999999999996","5.2000000000000002","8.9000000000000004"
"구로구","6.0999999999999996","4.7999999999999998","7.4000000000000004"
"금천구","7.7000000000000002","5.7999999999999998","9.5999999999999996"
"영등포구","5.4000000000000004","3.3999999999999999","7.2999999999999998"
"동작구","5.5","4.0999999999999996","6.9000000000000004"
"관악구","4.7999999999999998","4.2999999999999998","5.2999999999999998"
"서초구","6.5999999999999996","6.9000000000000004","6.4000000000000004"
"강남구","9.1999999999999993","7.2999999999999998","10.800000000000001"
"송파구","7.5999999999999996","5.9000000000000004","9.0999999999999996"
"강동구","5.7999999999999998","5","6.5"
