title,link,press
"코로나19 의료 인력의 현장 증언…“아비규환, 아수라장, 전쟁터”",https://news.kbs.co.kr/news/view.do?ncd=5347213&ref=A,KBS언론사 선정
[정균화칼럼] ‘코로나 블루’,https://www.asiatime.co.kr/article/20211224500209,아시아타임즈
"코로나19 확진 임신부, 태아에 영향… “백신 접종이 희망”",https://www.news1.kr/articles/?4531847,뉴스1
확진자 낙인에 우울증까지…정신적 '후유증' 무방비,http://www.jndn.com/article.php?aid=1640772294329234005,전남매일
어깨 무거워진 '손타클로스'…'박싱데이' 코로나 후유증을 날려라,http://sports.chosun.com/news/ntype.htm?id=202112250100161770010057&servicedate=20211225,스포츠조선
"청소년들, 등교 전면 중단에 코로나 블루 재발 우려… ""우울증 상담으로 극복...",http://www.medisobizanews.com/news/articleView.html?idxno=83903,메디소비자뉴스
[정현초의 건강시크릿] 우울증 약 대신 천연물질 활용법,http://www.ikunkang.com/news/articleView.html?idxno=35089,건강다이제스트
"코로나 블루, 국민 마음도 위중하다",https://www.joongang.co.kr/article/25033327,중앙SUNDAY
"가스안전公, 어르신 우울증 치료지원 공로 감사패 받아",http://www.e-platform.net/news/articleView.html?idxno=71043,에너지플랫폼뉴스
현장칼럼-우울증은 인류 역사만큼 오래되었다,http://www.gndomin.com/news/articleView.html?idxno=301516,경남도민신문
"노년기 우울증·건망증·불면증, 치매로 이어질 가능성 높아",http://www.busan.com/view/busan/view.php?code=2021122018572136003,부산일보언론사 선정
"세종보건소, 코로나 방역물품 소상공인 제공",http://www.ccnnews.co.kr/news/articleView.html?idxno=242852,충청뉴스
“코로나 블루 극복…병원 찾기 전 클래식 한 곡 어떠세요”,https://www.khan.co.kr/life/health/article/202112131423002,경향신문
"소방공무원 PTSD·우울증 심화…""코로나19 영향""",https://www.news1.kr/articles/?4513116,뉴스1
"가스안전공사, 지역 어르신 우울증 치료 등 공로… 감사패 수상",http://www.pinpointnews.co.kr/view.php?ud=202112231649114671f090c8dbcb_45,핀포인트뉴스
[유용하 기자의 사이언스 톡] 코로나 시대 ‘위드 운동’으로 치매 예방하세요,https://www.seoul.co.kr/news/newsView.php?id=20211209023002&wlog_tag3=naver,서울신문언론사 선정
"사립학교교직원연금공단, 위드코로나 청소년 마음치유 지원 나서 눈길",https://www.wikitree.co.kr/articles/718598,위키트리
코로나19 장기화 따른 청소년 우울증 · 무기력증 '위험 수위',http://www.civicnews.com/news/articleView.html?idxno=32975,시빅뉴스
"인하대병원, 에티오피아 재외국민에 의료 설명회… 코로나 대처 등 강의",http://www.kihoilbo.co.kr/news/articleView.html?idxno=959962,기호일보
코로나19가 불 지핀 혐오… ‘악플’은 또다른 재해,https://health.chosun.com/site/data/html_dir/2021/12/14/2021121401872.html,헬스조선언론사 선정
계절 타는 줄 알았는데… 알고 보니 나도 우울증?,http://www.newscj.com/news/articleView.html?idxno=933208,천지일보
집에서 먹는 알약에 코로나 판도 바뀐다···영국도 “오미크론 덜 심각” [...,https://www.sedaily.com/NewsView/22VEKNYTLG,서울경제
"숙지고, Healing Concert로 우울증 극복",http://www.nspna.com/news/?mode=view&newsid=545329,NSP통신
코로나19에 20대 니트족 증가 ‘심상찮네’,http://www.jndn.com/article.php?aid=1640599934329064005,전남매일
일기장으로 우울증 관리 한다고? 9개월만에 3.5만명이 쓰는 '이 앱',http://news.mt.co.kr/mtview.php?no=2021112515595358336,머니투데이언론사 선정
"코로나 블루 아픔…극단선택 줄었지만, 또다른 죽음 30% 늘었다",https://www.joongang.co.kr/article/25030310,중앙일보
코로나 1년... 덜 움직이고 더 뚱뚱해졌다,https://hankookilbo.com/News/Read/A2021121410400005605?did=NA,한국일보언론사 선정
"소방공무원, 외상후스트레스장애·우울증 심화 ""코로나19 영향""",https://www.asiatoday.co.kr/view.php?key=20211205010002744,아시아투데이
'코로나 블루' 겪는 청년층…상담소 찾는 발길 는다,https://www.jnilbo.com/view/media/view?code=2021122115230181277,전남일보
[알아봅시다]계절성 우울증에 도움되는 음식은?,http://www.newsis.com/view/?id=NISX20211208_0001680170&cID=13001&pID=13000,뉴시스
코로나 세밑에 떠오른 오상아(吾喪我),http://www.koscaj.com/news/articleView.html?idxno=223789,대한전문건설신문
"""코로나에 외롭다"" 덜컥 입양하더니…""이제 반려견 버릴래요""",https://www.joongang.co.kr/article/25029592,중앙일보
"반려견 주인, 코로나 대유행 동안 우울 증상 적게 나타나",https://mdtoday.co.kr/news/view/1065571690360079,메디컬투데이
"“코로나 블루, 음악 치료로 극복해요!”…‘아트브뤼트’ 정신 의료에 접목",https://news.kbs.co.kr/news/view.do?ncd=5345275&ref=A,KBS언론사 선정
코로나시대 대구시민의 안식처… 쓰레기매립장의 대변신,https://hankookilbo.com/News/Read/A2021121223000003385?did=NA,한국일보
수면장애·PTSD·우울증 심각한 수준…소방관 '마음 건강' 적신호 여전,https://view.asiae.co.kr/article/2021120516563604580,아시아경제언론사 선정
"""언제까지 이렇게 살아야 하나""…전세계서 코로나19 근심과 좌절",https://www.news1.kr/articles/?4523082,뉴스1
코로나·CCTV 여파 '인기과' 쏠림 더 심해졌다,http://www.medicaltimes.com/Users/News/NewsView.html?mode=view&ID=1144517&REFERER=NP,메디칼타임즈
"[기고] 포스트 코로나 시대의 '깐부', 자원봉사",http://www.joongdo.co.kr/web/view.php?key=20211129010006423,중도일보
"“가정의학과 전문의, 효과적이고 조기 우울증 치료 가능""",http://www.dailymedi.com/detail.php?number=877646&thread=22r03,데일리메디
"[춘하추동]겨울철 계절성 우울증, 건강하게 극복하는 법",http://www.joongdo.co.kr/web/view.php?key=20211221010004493,중도일보
"코로나 장기화 속 우울증, 치료 전 자가진단부터",http://www.ikunkang.com/news/articleView.html?idxno=34938,건강다이제스트
"<글로벌 pick> 활동량 급감 청년들, 우울증은 '급증'",http://news.ebs.co.kr/ebsnews/allView/60142214/N,EBS
"""청소년 우울증 심각, 의료기관 접근성 높여야""",http://www.dailymedi.com/detail.php?number=877461&thread=22r03,데일리메디
[단독] 수치로 드러난 '코로나 블루'...정신적 문제 극단선택 10년來 최다,https://www.sedaily.com/NewsView/22V7QIILFY,서울경제언론사 선정
코로나19 장기화 우울증 환자 증가세 이어져,http://www.tjb.co.kr/sub0301/bodo/view/id/53645,TJB 대전방송
“코로나로 청소년 정신건강 급격히 악화”,https://news.koreadaily.com/2021/12/07/society/generalsociety/20211207192601175.html,미주중앙일보
만성피로증후군인 줄 알았더니 코로나19 장기 증상?,http://weekly.chosun.com/client/news/viw.asp?nNewsNumb=002685100037&ctcd=C09,주간조선언론사 선정
게임·VR로 우울증 고친다…'1호 디지털치료제' 각축전,http://www.digitaltoday.co.kr/news/articleView.html?idxno=428576,디지털투데이
코로나 장기화에 한국인 우울점수 6.8점→7.9점,http://news.kmib.co.kr/article/view.asp?arcid=0016558216&code=61121111&cp=nv,국민일보
위드코로나 시대 현명한 면역 전략,http://www.fortunekorea.co.kr/news/articleView.html?idxno=20755,포춘코리아
"코로나 블루, 따뜻한 공연으로 녹여볼까?",http://www.naeil.com/news_view/?id_art=407501,내일신문
[WIKI 프리즘] 길어지는 코로나 후유증으로 건강과 삶이 무너지고 있는 미국인...,http://www.wikileaks-kr.org/news/articleView.html?idxno=119684,위키리크스한국
<글로벌 뉴스 브리핑> 팬데믹에 활동 사라진 20대‥美 지배한 '청년 우울증',http://news.ebs.co.kr/ebsnews/allView/60142246/N,EBS
"[100세 건강] 코로나에 갇힌 현대인, ‘고통 회복력’ 키우는 법",https://www.news1.kr/articles/?4517263,뉴스1
코로나시대 대구시민의 안식처… 쓰레기매립장의 대변신,https://hankookilbo.com/News/Read/A2021121223000003385?did=NA,한국일보
수면장애·PTSD·우울증 심각한 수준…소방관 '마음 건강' 적신호 여전,https://view.asiae.co.kr/article/2021120516563604580,아시아경제언론사 선정
"""언제까지 이렇게 살아야 하나""…전세계서 코로나19 근심과 좌절",https://www.news1.kr/articles/?4523082,뉴스1
코로나·CCTV 여파 '인기과' 쏠림 더 심해졌다,http://www.medicaltimes.com/Users/News/NewsView.html?mode=view&ID=1144517&REFERER=NP,메디칼타임즈
30~40대 남성 절반 이상 비만···코로나19 영향,https://www.ktv.go.kr/content/view?content_id=638813,KTV국민방송
"[기고] 포스트 코로나 시대의 '깐부', 자원봉사",http://www.joongdo.co.kr/web/view.php?key=20211129010006423,중도일보
"“가정의학과 전문의, 효과적이고 조기 우울증 치료 가능""",http://www.dailymedi.com/detail.php?number=877646&thread=22r03,데일리메디
