"region","mental_budget","mental_cost","budget_diff"
"강남구",2648.959,2358.803,290.156
"강동구",2526.93,1818.846,708.084
"강북구",2359.784,2135.795,223.989
"강서구",3463.846,3005.076,458.77
"관악구",2717.074,2408.123,308.951
"광진구",3108.714,2846.078,262.636
"구로구",2303.583,1956.865,346.718
"금천구",2701.642,2412.22,289.422
"노원구",3026.13,2562.181,463.949
"도봉구",3147.086,2836.163,310.923
"동대문구",2126.353,1802.425,323.928
"동작구",1579.792,1313.955,265.837
"마포구",4717.151,4043.555,673.596
"서대문구",2453.225,2162.304,290.921
"서초구",3430.815,2851.837,578.978
"성동구",3316.943,3023.328,293.615
"성북구",1366.502,1347.783,18.7190000000001
"송파구",3064.883,2884.293,180.59
"양천구",2067.52,1847.426,220.094
"영등포구",3889.686,3482.022,407.664
"용산구",986.559,902.957,83.602
"은평구",3534.109,3138.53,395.579
"종로구",2364.2,2170.278,193.922
"중구",1527.312,1366.156,161.156
"중랑구",3133.687,2846.209,287.478
