"지역","variable","measure","주민등록인구","등록장애인","등록정신장애인","등록정신장애인_비율"
" 은평구","2017",NA,"486,794","21,301","1,128",5.3
" 은평구","2018",NA,"483,197","21,531","1,125",5.2
" 은평구","2019",NA,"480,032","21,617","1,150",5.31
" 은평구","2020",NA,"479,835","21,773","1,162",5.34
" 은평구","2021",NA,"473,307","21,756","1,167",5.4
" 서대문구","2012",NA,"315,113","12,901","501",3.88
" 서대문구","2013",NA,"314,110","12,808","515",4
" 서대문구","2014",NA,"310,376","12,633","519",4.1
" 서대문구","2015",NA,"312,141","12,510","539",4.3
" 서대문구","2016",NA,"314,194","12,626","514",4.1
" 서대문구","2017",NA,"312,800","12,644","530",4.2
" 서대문구","2018",NA,"310,313","12,610","525",4.2
" 서대문구","2019",NA,"309,397","12,612","513",4.06
" 서대문구","2020",NA,"312,173","12,551","530",4.22
" 서대문구","2021",NA,"304,819","12,311","517",4.2
" 마포구","2012",NA,"384,644","14,562","523",3.59
" 마포구","2013",NA,"381,856","14,442","520",3.6
" 마포구","2014",NA,"385,439","14,161","522",3.7
" 마포구","2015",NA,"387,643","13,872","516",3.7
" 마포구","2016",NA,"379,892","13,392","500",3.7
" 마포구","2017",NA,"374,915","13,250","493",3.7
" 마포구","2018",NA,"375,077","13,219","501",3.8
" 마포구","2019",NA,"374,035","13,119","496",3.78
" 마포구","2020",NA,"371,890","12,951","505",3.9
" 마포구","2021",NA,"368,905","12,945","513",4
" 양천구","2012",NA,"495,911","18,106","585",3.23
" 양천구","2013",NA,"492,528","17,904","594",3.3
" 양천구","2014",NA,"486,221","17,508","583",3.3
" 양천구","2015",NA,"484,532","17,313","593",3.4
" 양천구","2016",NA,"477,739","17,200","604",3.5
" 양천구","2017",NA,"471,154","17,232","606",3.5
" 양천구","2018",NA,"464,185","17,350","621",3.6
" 양천구","2019",NA,"458,165","17,456","616",3.52
" 양천구","2020",NA,"454,251","17,558","615",3.5
" 양천구","2021",NA,"447,302","17,525","624",3.6
" 강서구","2012",NA,"567,431","27,518","1,453",5.28
" 강서구","2013",NA,"569,070","27,509","1,490",5.4
" 강서구","2014",NA,"585,160","27,979","1,528",5.5
" 강서구","2015",NA,"589,074","27,996","1,572",5.6
" 강서구","2016",NA,"595,485","28,240","1,607",5.7
" 강서구","2017",NA,"601,691","28,717","1,627",5.7
" 강서구","2018",NA,"596,949","28,810","1,611",5.6
" 강서구","2019",NA,"591,796","28,854","1,589",5.5
" 강서구","2020",NA,"580,185","28,727","1,598",5.56
" 강서구","2021",NA,"574,315","28,546","1,614",5.7
" 구로구","2012",NA,"427,520","17,821","558",3.13
" 구로구","2013",NA,"424,964","17,620","567",3.2
" 구로구","2014",NA,"425,831","17,596","585",3.3
" 구로구","2015",NA,"422,092","17,306","561",3.2
" 구로구","2016",NA,"417,551","17,213","561",3.3
" 구로구","2017",NA,"410,742","17,289","568",3.3
" 구로구","2018",NA,"404,497","17,603","597",3.4
" 구로구","2019",NA,"406,664","18,141","635",3.5
" 구로구","2020",NA,"404,408","18,280","648",3.54
" 구로구","2021",NA,"396,754","18,374","651",3.5
" 금천구","2012",NA,"243,288","11,210","387",3.45
" 금천구","2013",NA,"241,020","11,184","390",3.5
" 금천구","2014",NA,"238,463","10,968","389",3.5
" 금천구","2015",NA,"236,284","10,894","396",3.6
" 금천구","2016",NA,"235,386","10,920","401",3.7
" 금천구","2017",NA,"235,154","11,059","412",3.7
" 금천구","2018",NA,"233,917","11,197","411",3.7
" 금천구","2019",NA,"232,810","11,373","438",3.85
" 금천구","2020",NA,"231,733","11,390","431",3.78
" 금천구","2021",NA,"230,811","11,458","433",3.8
" 영등포구","2012",NA,"391,408","16,033","460",2.86
" 영등포구","2013",NA,"386,471","15,636","476",3
" 영등포구","2014",NA,"382,352","15,202","450",3
" 영등포구","2015",NA,"378,504","14,807","447",3
" 영등포구","2016",NA,"370,613","14,419","451",3.1
" 영등포구","2017",NA,"368,550","14,351","445",3.1
" 영등포구","2018",NA,"367,778","14,405","443",3.1
" 영등포구","2019",NA,"367,678","14,411","447",3.1
" 영등포구","2020",NA,"379,480","14,539","457",3.14
" 영등포구","2021",NA,"376,837","14,495","474",3.3
" 동작구","2012",NA,"405,491","15,431","496",3.21
" 동작구","2013",NA,"410,815","15,327","499",3.3
" 동작구","2014",NA,"407,470","15,043","502",3.3
" 동작구","2015",NA,"400,641","14,611","519",3.6
" 동작구","2016",NA,"400,997","14,646","526",3.6
" 동작구","2017",NA,"396,217","14,590","522",3.6
" 동작구","2018",NA,"396,203","14,691","517",3.5
" 동작구","2019",NA,"395,963","14,735","521",3.53
" 동작구","2020",NA,"391,220","14,607","526",3.6
" 동작구","2021",NA,"385,483","14,417","523",3.6
" 관악구","2012",NA,"523,029","20,999","820",3.9
" 관악구","2013",NA,"518,028","20,852","817",3.9
" 관악구","2014",NA,"513,186","20,498","816",4
" 관악구","2015",NA,"509,663","20,230","828",4.1
" 관악구","2016",NA,"506,851","20,142","856",4.2
" 관악구","2017",NA,"503,297","20,103","856",4.3
" 관악구","2018",NA,"501,957","20,264","871",4.3
" 관악구","2019",NA,"500,094","20,299","851",4.19
" 관악구","2020",NA,"495,060","20,265","863",4.26
" 관악구","2021",NA,"485,699","20,211","883",4.4
" 서초구","2012",NA,"435,044","10,702","323",3.01
" 서초구","2013",NA,"441,763","10,783","345",3.2
" 서초구","2014",NA,"449,678","10,929","336",3.1
" 서초구","2015",NA,"446,764","10,941","338",3.1
" 서초구","2016",NA,"447,192","10,872","340",3.1
" 서초구","2017",NA,"441,102","10,774","337",3.1
" 서초구","2018",NA,"433,951","10,581","350",3.3
