region,total,male,female
서울시,7,5.2,8.6
 종로구,5.1,3.8,6.3
 중구,9.7,6.7,12.5
 용산구,6.4,3.8,8.8
 성동구,8.5,5.1,11.7
 광진구,7.9,5.6,10
 동대문구,3.4,1.7,5
 중랑구,4.6,3.2,5.9
 성북구,8.8,7.7,9.8
 강북구,5.5,4,6.9
 도봉구,7,6.1,7.8
 노원구,7.4,5.7,9
 은평구,8.2,7.6,8.8
 서대문구,11.5,10.1,12.7
 마포구,4.9,2.1,7.4
 양천구,6.5,4.6,8.3
 강서구,8.2,6.1,10.2
 구로구,4.8,2.9,6.5
 금천구,11.2,9.1,13.3
 영등포구,7.2,6.5,7.9
 동작구,6.2,3.7,8.5
 관악구,4.3,3.2,5.3
 서초구,5.5,4.3,6.6
 강남구,7.3,6.4,8
 송파구,9.1,6,11.9
 강동구,6.4,4.2,8.5
