"지역","variable","measure","주민등록인구","등록정신장애인","등록정신장애인_비율"
" 마포구","2017",NA,"374,915","493",3.7
" 마포구","2018",NA,"375,077","501",3.8
" 마포구","2019",NA,"374,035","496",3.78
" 마포구","2020",NA,"371,890","505",3.9
" 마포구","2021",NA,"368,905","513",4
" 양천구","2012",NA,"495,911","585",3.23
" 양천구","2013",NA,"492,528","594",3.3
" 양천구","2014",NA,"486,221","583",3.3
" 양천구","2015",NA,"484,532","593",3.4
" 양천구","2016",NA,"477,739","604",3.5
" 양천구","2017",NA,"471,154","606",3.5
" 양천구","2018",NA,"464,185","621",3.6
" 양천구","2019",NA,"458,165","616",3.52
" 양천구","2020",NA,"454,251","615",3.5
" 양천구","2021",NA,"447,302","624",3.6
" 강서구","2012",NA,"567,431","1,453",5.28
" 강서구","2013",NA,"569,070","1,490",5.4
" 강서구","2014",NA,"585,160","1,528",5.5
" 강서구","2015",NA,"589,074","1,572",5.6
" 강서구","2016",NA,"595,485","1,607",5.7
" 강서구","2017",NA,"601,691","1,627",5.7
" 강서구","2018",NA,"596,949","1,611",5.6
" 강서구","2019",NA,"591,796","1,589",5.5
" 강서구","2020",NA,"580,185","1,598",5.56
" 강서구","2021",NA,"574,315","1,614",5.7
" 구로구","2012",NA,"427,520","558",3.13
" 구로구","2013",NA,"424,964","567",3.2
" 구로구","2014",NA,"425,831","585",3.3
" 구로구","2015",NA,"422,092","561",3.2
" 구로구","2016",NA,"417,551","561",3.3
" 구로구","2017",NA,"410,742","568",3.3
" 구로구","2018",NA,"404,497","597",3.4
" 구로구","2019",NA,"406,664","635",3.5
" 구로구","2020",NA,"404,408","648",3.54
" 구로구","2021",NA,"396,754","651",3.5
" 금천구","2012",NA,"243,288","387",3.45
" 금천구","2013",NA,"241,020","390",3.5
" 금천구","2014",NA,"238,463","389",3.5
" 금천구","2015",NA,"236,284","396",3.6
" 금천구","2016",NA,"235,386","401",3.7
" 금천구","2017",NA,"235,154","412",3.7
" 금천구","2018",NA,"233,917","411",3.7
" 금천구","2019",NA,"232,810","438",3.85
" 금천구","2020",NA,"231,733","431",3.78
" 금천구","2021",NA,"230,811","433",3.8
" 영등포구","2012",NA,"391,408","460",2.86
" 영등포구","2013",NA,"386,471","476",3
" 영등포구","2014",NA,"382,352","450",3
" 영등포구","2015",NA,"378,504","447",3
" 영등포구","2016",NA,"370,613","451",3.1
" 영등포구","2017",NA,"368,550","445",3.1
" 영등포구","2018",NA,"367,778","443",3.1
" 영등포구","2019",NA,"367,678","447",3.1
" 영등포구","2020",NA,"379,480","457",3.14
" 영등포구","2021",NA,"376,837","474",3.3
" 동작구","2012",NA,"405,491","496",3.21
" 동작구","2013",NA,"410,815","499",3.3
" 동작구","2014",NA,"407,470","502",3.3
" 동작구","2015",NA,"400,641","519",3.6
" 동작구","2016",NA,"400,997","526",3.6
" 동작구","2017",NA,"396,217","522",3.6
" 동작구","2018",NA,"396,203","517",3.5
" 동작구","2019",NA,"395,963","521",3.53
" 동작구","2020",NA,"391,220","526",3.6
" 동작구","2021",NA,"385,483","523",3.6
" 관악구","2012",NA,"523,029","820",3.9
" 관악구","2013",NA,"518,028","817",3.9
" 관악구","2014",NA,"513,186","816",4
" 관악구","2015",NA,"509,663","828",4.1
" 관악구","2016",NA,"506,851","856",4.2
" 관악구","2017",NA,"503,297","856",4.3
" 관악구","2018",NA,"501,957","871",4.3
" 관악구","2019",NA,"500,094","851",4.19
" 관악구","2020",NA,"495,060","863",4.26
" 관악구","2021",NA,"485,699","883",4.4
" 서초구","2012",NA,"435,044","323",3.01
" 서초구","2013",NA,"441,763","345",3.2
" 서초구","2014",NA,"449,678","336",3.1
" 서초구","2015",NA,"446,764","338",3.1
" 서초구","2016",NA,"447,192","340",3.1
" 서초구","2017",NA,"441,102","337",3.1
" 서초구","2018",NA,"433,951","350",3.3
" 서초구","2019",NA,"430,826","365",3.45
" 서초구","2020",NA,"425,126","358",3.4
" 서초구","2021",NA,"412,279","347",3.4
" 강남구","2012",NA,"564,197","712",4.55
" 강남구","2013",NA,"563,599","733",4.7
" 강남구","2014",NA,"578,114","787",4.9
" 강남구","2015",NA,"576,495","808",5.1
" 강남구","2016",NA,"567,115","839",5.3
" 강남구","2017",NA,"556,164","877",5.6
" 강남구","2018",NA,"542,364","857",5.6
" 강남구","2019",NA,"545,169","845",5.47
" 강남구","2020",NA,"539,231","834",5.49
" 강남구","2021",NA,"533,042","840",5.5
" 송파구","2012",NA,"673,115","580",2.81
" 송파구","2013",NA,"668,415","570",2.8
" 송파구","2014",NA,"664,738","592",3
" 송파구","2015",NA,"660,302","598",3.1
" 송파구","2016",NA,"657,831","617",3.2
" 송파구","2017",NA,"664,496","635",3.2
" 송파구","2018",NA,"666,635","646",3.2
" 송파구","2019",NA,"675,961","653",3.21
" 송파구","2020",NA,"667,960","631",3.11
" 송파구","2021",NA,"658,338","658",3.2
" 강동구","2012",NA,"487,905","537",2.87
" 강동구","2013",NA,"483,379","534",2.9
" 강동구","2014",NA,"476,597","549",3
" 강동구","2015",NA,"458,658","574",3.2
" 강동구","2016",NA,"444,168","561",3.2
" 강동구","2017",NA,"436,223","568",3.3
" 강동구","2018",NA,"427,573","566",3.3
" 강동구","2019",NA,"436,067","594",3.36
" 강동구","2020",NA,"459,970","638",3.49
" 강동구","2021",NA,"462,664","640",3.4
